,alpha,beta,gamma,w_line,w_edge,sigma,iou,acc
242,0.01,20.0,0.01,0.5,0.0,1.0,0.8444512486457825,0.6627118644067796
243,0.01,20.0,0.01,0.5,0.0,3.0,0.8536210656166077,0.6711864406779661
244,0.01,20.0,0.01,0.5,1.0,1.0,0.8304852247238159,0.635593220338983
245,0.01,20.0,0.01,0.5,1.0,3.0,0.8573247194290161,0.6593220338983051
246,0.01,20.0,0.01,0.0,-1.0,1.0,0.8180770874023438,0.6338983050847458
247,0.01,20.0,0.01,0.0,-1.0,3.0,0.8226777911186218,0.635593220338983
248,0.01,20.0,0.01,0.0,0.0,1.0,0.8219584226608276,0.6372881355932203
249,0.01,20.0,0.01,0.0,0.0,3.0,0.8219584226608276,0.6372881355932203
250,0.01,20.0,0.01,0.0,1.0,1.0,0.8179826736450195,0.6288135593220339
251,0.01,20.0,0.01,0.0,1.0,3.0,0.8184686899185181,0.6271186440677966
252,0.01,20.0,0.005,-1.0,-1.0,1.0,0.7945276498794556,0.6745762711864407
253,0.01,20.0,0.005,-1.0,-1.0,3.0,0.6622498631477356,0.6457627118644068
254,0.01,20.0,0.005,-1.0,0.0,1.0,0.7459002137184143,0.6067796610169491
255,0.01,20.0,0.005,-1.0,0.0,3.0,0.7377381324768066,0.5915254237288136
256,0.01,20.0,0.005,-1.0,1.0,1.0,0.7767741680145264,0.6169491525423729
257,0.01,20.0,0.005,-1.0,1.0,3.0,0.658592164516449,0.6457627118644068
258,0.01,20.0,0.005,0.5,-1.0,1.0,0.8406147956848145,0.635593220338983
259,0.01,20.0,0.005,0.5,-1.0,3.0,0.8521841764450073,0.6694915254237288
260,0.01,20.0,0.005,0.5,0.0,1.0,0.8430197238922119,0.6627118644067796
261,0.01,20.0,0.005,0.5,0.0,3.0,0.8480116128921509,0.6711864406779661
262,0.01,20.0,0.005,0.5,1.0,1.0,0.8285036087036133,0.6322033898305085
263,0.01,20.0,0.005,0.5,1.0,3.0,0.8665654063224792,0.6661016949152543
264,0.01,20.0,0.005,0.0,-1.0,1.0,0.8219891786575317,0.6322033898305085
265,0.01,20.0,0.005,0.0,-1.0,3.0,0.82725989818573,0.635593220338983
266,0.01,20.0,0.005,0.0,0.0,1.0,0.7962890863418579,0.7067796610169491
267,0.01,20.0,0.005,0.0,0.0,3.0,0.7962890863418579,0.7067796610169491
268,0.01,20.0,0.005,0.0,1.0,1.0,0.8176390528678894,0.6271186440677966
269,0.01,20.0,0.005,0.0,1.0,3.0,0.8074532747268677,0.6271186440677966
270,0.01,30.0,0.001,-1.0,-1.0,1.0,0.7951633334159851,0.6728813559322034
271,0.01,30.0,0.001,-1.0,-1.0,3.0,0.6603822708129883,0.6474576271186441
272,0.01,30.0,0.001,-1.0,0.0,1.0,0.7538877129554749,0.6101694915254238
273,0.01,30.0,0.001,-1.0,0.0,3.0,0.6404213905334473,0.6627118644067796
274,0.01,30.0,0.001,-1.0,1.0,1.0,0.7525286674499512,0.6271186440677966
275,0.01,30.0,0.001,-1.0,1.0,3.0,0.6828711032867432,0.6067796610169491
276,0.01,30.0,0.001,0.5,-1.0,1.0,0.8377596139907837,0.6389830508474577
277,0.01,30.0,0.001,0.5,-1.0,3.0,0.8520593643188477,0.6694915254237288
278,0.01,30.0,0.001,0.5,0.0,1.0,0.843813955783844,0.6627118644067796
279,0.01,30.0,0.001,0.5,0.0,3.0,0.8450863361358643,0.6728813559322034
280,0.01,30.0,0.001,0.5,1.0,1.0,0.8332834243774414,0.635593220338983
281,0.01,30.0,0.001,0.5,1.0,3.0,0.8441759347915649,0.6677966101694915
282,0.01,30.0,0.001,0.0,-1.0,1.0,0.8186627626419067,0.6338983050847458
283,0.01,30.0,0.001,0.0,-1.0,3.0,0.8413194417953491,0.6338983050847458
284,0.01,30.0,0.001,0.0,0.0,1.0,0.4682021141052246,0.7067796610169491
285,0.01,30.0,0.001,0.0,0.0,3.0,0.4682021141052246,0.7067796610169491
286,0.01,30.0,0.001,0.0,1.0,1.0,0.8182309865951538,0.6271186440677966
287,0.01,30.0,0.001,0.0,1.0,3.0,0.8175922632217407,0.6254237288135593
288,0.01,30.0,0.01,-1.0,-1.0,1.0,0.7939321398735046,0.6728813559322034
289,0.01,30.0,0.01,-1.0,-1.0,3.0,0.6620445251464844,0.6440677966101694
290,0.01,30.0,0.01,-1.0,0.0,1.0,0.7684272527694702,0.6016949152542372
291,0.01,30.0,0.01,-1.0,0.0,3.0,0.6602985858917236,0.6440677966101694
292,0.01,30.0,0.01,-1.0,1.0,1.0,0.7834525108337402,0.6186440677966102
293,0.01,30.0,0.01,-1.0,1.0,3.0,0.7347632646560669,0.588135593220339
294,0.01,30.0,0.01,0.5,-1.0,1.0,0.8378798961639404,0.6338983050847458
295,0.01,30.0,0.01,0.5,-1.0,3.0,0.8489329814910889,0.6694915254237288
296,0.01,30.0,0.01,0.5,0.0,1.0,0.8443974852561951,0.6627118644067796
297,0.01,30.0,0.01,0.5,0.0,3.0,0.8535383939743042,0.6728813559322034
298,0.01,30.0,0.01,0.5,1.0,1.0,0.8293207883834839,0.6322033898305085
299,0.01,30.0,0.01,0.5,1.0,3.0,0.8389837145805359,0.6610169491525424
300,0.01,30.0,0.01,0.0,-1.0,1.0,0.8219541311264038,0.6338983050847458
301,0.01,30.0,0.01,0.0,-1.0,3.0,0.8242343068122864,0.6372881355932203
302,0.01,30.0,0.01,0.0,0.0,1.0,0.8222724795341492,0.6372881355932203
303,0.01,30.0,0.01,0.0,0.0,3.0,0.8222724795341492,0.6372881355932203
304,0.01,30.0,0.01,0.0,1.0,1.0,0.8178831338882446,0.6271186440677966
305,0.01,30.0,0.01,0.0,1.0,3.0,0.8187340497970581,0.6288135593220339
306,0.01,30.0,0.005,-1.0,-1.0,1.0,0.7891722321510315,0.6745762711864407
307,0.01,30.0,0.005,-1.0,-1.0,3.0,0.6622071862220764,0.6457627118644068
308,0.01,30.0,0.005,-1.0,0.0,1.0,0.7637251615524292,0.6135593220338983
309,0.01,30.0,0.005,-1.0,0.0,3.0,0.6606550812721252,0.6457627118644068
310,0.01,30.0,0.005,-1.0,1.0,1.0,0.7846513986587524,0.6186440677966102
311,0.01,30.0,0.005,-1.0,1.0,3.0,0.7374455332756042,0.5932203389830508
312,0.01,30.0,0.005,0.5,-1.0,1.0,0.837079644203186,0.6322033898305085
313,0.01,30.0,0.005,0.5,-1.0,3.0,0.851397693157196,0.6711864406779661
314,0.01,30.0,0.005,0.5,0.0,1.0,0.8444782495498657,0.6627118644067796
315,0.01,30.0,0.005,0.5,0.0,3.0,0.8503193855285645,0.6711864406779661
316,0.01,30.0,0.005,0.5,1.0,1.0,0.830744206905365,0.635593220338983
317,0.01,30.0,0.005,0.5,1.0,3.0,0.8379200100898743,0.6610169491525424
318,0.01,30.0,0.005,0.0,-1.0,1.0,0.8220052719116211,0.6322033898305085
319,0.01,30.0,0.005,0.0,-1.0,3.0,0.8312894105911255,0.635593220338983
320,0.01,30.0,0.005,0.0,0.0,1.0,0.7277498245239258,0.7067796610169491
321,0.01,30.0,0.005,0.0,0.0,3.0,0.7277498245239258,0.7067796610169491
322,0.01,30.0,0.005,0.0,1.0,1.0,0.8178356885910034,0.6271186440677966
323,0.01,30.0,0.005,0.0,1.0,3.0,0.8094655871391296,0.6271186440677966
324,0.02,10.0,0.001,-1.0,-1.0,1.0,0.7663154006004333,0.6457627118644068
325,0.02,10.0,0.001,-1.0,-1.0,3.0,0.6385535001754761,0.6610169491525424
326,0.02,10.0,0.001,-1.0,0.0,1.0,0.7435891628265381,0.6084745762711864
327,0.02,10.0,0.001,-1.0,0.0,3.0,0.6346848011016846,0.6610169491525424
328,0.02,10.0,0.001,-1.0,1.0,1.0,0.7504866123199463,0.6271186440677966
329,0.02,10.0,0.001,-1.0,1.0,3.0,0.5243072509765625,0.6593220338983051
330,0.02,10.0,0.001,0.5,-1.0,1.0,0.8389384746551514,0.6322033898305085
331,0.02,10.0,0.001,0.5,-1.0,3.0,0.8487454652786255,0.6694915254237288
332,0.02,10.0,0.001,0.5,0.0,1.0,0.8441505432128906,0.6627118644067796
333,0.02,10.0,0.001,0.5,0.0,3.0,0.7801154255867004,0.6694915254237288
334,0.02,10.0,0.001,0.5,1.0,1.0,0.8367230892181396,0.6440677966101694
335,0.02,10.0,0.001,0.5,1.0,3.0,0.8422741889953613,0.6627118644067796
336,0.02,10.0,0.001,0.0,-1.0,1.0,0.8294987678527832,0.6338983050847458
337,0.02,10.0,0.001,0.0,-1.0,3.0,0.8382251262664795,0.635593220338983
338,0.02,10.0,0.001,0.0,0.0,1.0,0.46411001682281494,0.7067796610169491
339,0.02,10.0,0.001,0.0,0.0,3.0,0.46411001682281494,0.7067796610169491
340,0.02,10.0,0.001,0.0,1.0,1.0,0.8296289443969727,0.6305084745762712
341,0.02,10.0,0.001,0.0,1.0,3.0,0.7911938428878784,0.6338983050847458
342,0.02,10.0,0.01,-1.0,-1.0,1.0,0.8152925968170166,0.6728813559322034
343,0.02,10.0,0.01,-1.0,-1.0,3.0,0.6616840958595276,0.6440677966101694
344,0.02,10.0,0.01,-1.0,0.0,1.0,0.7431759834289551,0.6067796610169491
345,0.02,10.0,0.01,-1.0,0.0,3.0,0.6603729724884033,0.6440677966101694
346,0.02,10.0,0.01,-1.0,1.0,1.0,0.7708511352539062,0.6237288135593221
347,0.02,10.0,0.01,-1.0,1.0,3.0,0.6581595540046692,0.6423728813559322
348,0.02,10.0,0.01,0.5,-1.0,1.0,0.8374289870262146,0.6338983050847458
349,0.02,10.0,0.01,0.5,-1.0,3.0,0.8556879162788391,0.6711864406779661
350,0.02,10.0,0.01,0.5,0.0,1.0,0.8430434465408325,0.6610169491525424
351,0.02,10.0,0.01,0.5,0.0,3.0,0.8534302115440369,0.6711864406779661
352,0.02,10.0,0.01,0.5,1.0,1.0,0.8343091011047363,0.6338983050847458
353,0.02,10.0,0.01,0.5,1.0,3.0,0.8597105741500854,0.6576271186440678
354,0.02,10.0,0.01,0.0,-1.0,1.0,0.8226268291473389,0.6338983050847458
355,0.02,10.0,0.01,0.0,-1.0,3.0,0.8273443579673767,0.635593220338983
356,0.02,10.0,0.01,0.0,0.0,1.0,0.8347599506378174,0.6474576271186441
357,0.02,10.0,0.01,0.0,0.0,3.0,0.8347599506378174,0.6474576271186441
358,0.02,10.0,0.01,0.0,1.0,1.0,0.8194092512130737,0.6322033898305085
359,0.02,10.0,0.01,0.0,1.0,3.0,0.8199328184127808,0.6271186440677966
360,0.02,10.0,0.005,-1.0,-1.0,1.0,0.8142167329788208,0.6728813559322034
361,0.02,10.0,0.005,-1.0,-1.0,3.0,0.6597055792808533,0.6440677966101694
362,0.02,10.0,0.005,-1.0,0.0,1.0,0.742846667766571,0.6067796610169491
363,0.02,10.0,0.005,-1.0,0.0,3.0,0.6577820777893066,0.6440677966101694
364,0.02,10.0,0.005,-1.0,1.0,1.0,0.7506029605865479,0.6237288135593221
365,0.02,10.0,0.005,-1.0,1.0,3.0,0.6469253301620483,0.6440677966101694
366,0.02,10.0,0.005,0.5,-1.0,1.0,0.8372699022293091,0.6338983050847458
367,0.02,10.0,0.005,0.5,-1.0,3.0,0.8533830642700195,0.6694915254237288
368,0.02,10.0,0.005,0.5,0.0,1.0,0.8445292711257935,0.6627118644067796
369,0.02,10.0,0.005,0.5,0.0,3.0,0.8544318675994873,0.6711864406779661
370,0.02,10.0,0.005,0.5,1.0,1.0,0.8431909084320068,0.6372881355932203
371,0.02,10.0,0.005,0.5,1.0,3.0,0.8590145111083984,0.6593220338983051
372,0.02,10.0,0.005,0.0,-1.0,1.0,0.8221420645713806,0.6322033898305085
373,0.02,10.0,0.005,0.0,-1.0,3.0,0.8355851769447327,0.635593220338983
374,0.02,10.0,0.005,0.0,0.0,1.0,0.6242881417274475,0.7067796610169491
375,0.02,10.0,0.005,0.0,0.0,3.0,0.6242881417274475,0.7067796610169491
376,0.02,10.0,0.005,0.0,1.0,1.0,0.8199326395988464,0.6322033898305085
377,0.02,10.0,0.005,0.0,1.0,3.0,0.8156852722167969,0.6254237288135593
378,0.02,20.0,0.001,-1.0,-1.0,1.0,0.7382892966270447,0.6728813559322034
379,0.02,20.0,0.001,-1.0,-1.0,3.0,0.683417558670044,0.6033898305084746
380,0.02,20.0,0.001,-1.0,0.0,1.0,0.742260217666626,0.6067796610169491
381,0.02,20.0,0.001,-1.0,0.0,3.0,0.6374032497406006,0.6627118644067796
382,0.02,20.0,0.001,-1.0,1.0,1.0,0.7848823666572571,0.6237288135593221
383,0.02,20.0,0.001,-1.0,1.0,3.0,0.6344009041786194,0.6610169491525424
384,0.02,20.0,0.001,0.5,-1.0,1.0,0.8378311395645142,0.635593220338983
385,0.02,20.0,0.001,0.5,-1.0,3.0,0.8519086837768555,0.6711864406779661
386,0.02,20.0,0.001,0.5,0.0,1.0,0.844773530960083,0.6644067796610169
387,0.02,20.0,0.001,0.5,0.0,3.0,0.7800412774085999,0.6677966101694915
388,0.02,20.0,0.001,0.5,1.0,1.0,0.8323218822479248,0.6338983050847458
389,0.02,20.0,0.001,0.5,1.0,3.0,0.8407160043716431,0.6610169491525424
390,0.02,20.0,0.001,0.0,-1.0,1.0,0.8215816020965576,0.6305084745762712
391,0.02,20.0,0.001,0.0,-1.0,3.0,0.8550728559494019,0.6372881355932203
392,0.02,20.0,0.001,0.0,0.0,1.0,0.4630870521068573,0.7067796610169491
393,0.02,20.0,0.001,0.0,0.0,3.0,0.4630870521068573,0.7067796610169491
394,0.02,20.0,0.001,0.0,1.0,1.0,0.8182070255279541,0.6254237288135593
395,0.02,20.0,0.001,0.0,1.0,3.0,0.7991582155227661,0.6322033898305085
396,0.02,20.0,0.01,-1.0,-1.0,1.0,0.7932292222976685,0.6728813559322034
397,0.02,20.0,0.01,-1.0,-1.0,3.0,0.6614623665809631,0.6440677966101694
398,0.02,20.0,0.01,-1.0,0.0,1.0,0.7435382604598999,0.6067796610169491
399,0.02,20.0,0.01,-1.0,0.0,3.0,0.6603788137435913,0.6440677966101694
400,0.02,20.0,0.01,-1.0,1.0,1.0,0.7810392379760742,0.6186440677966102
401,0.02,20.0,0.01,-1.0,1.0,3.0,0.6596090793609619,0.6423728813559322
402,0.02,20.0,0.01,0.5,-1.0,1.0,0.8294728994369507,0.6322033898305085
403,0.02,20.0,0.01,0.5,-1.0,3.0,0.854911744594574,0.6711864406779661
404,0.02,20.0,0.01,0.5,0.0,1.0,0.8451608419418335,0.6627118644067796
405,0.02,20.0,0.01,0.5,0.0,3.0,0.8536736965179443,0.6728813559322034
406,0.02,20.0,0.01,0.5,1.0,1.0,0.831419825553894,0.635593220338983
407,0.02,20.0,0.01,0.5,1.0,3.0,0.8405836820602417,0.6610169491525424
408,0.02,20.0,0.01,0.0,-1.0,1.0,0.823125422000885,0.6338983050847458
409,0.02,20.0,0.01,0.0,-1.0,3.0,0.8295004367828369,0.6372881355932203
410,0.02,20.0,0.01,0.0,0.0,1.0,0.8531998991966248,0.6847457627118644
411,0.02,20.0,0.01,0.0,0.0,3.0,0.8531998991966248,0.6847457627118644
412,0.02,20.0,0.01,0.0,1.0,1.0,0.8115984201431274,0.6288135593220339
413,0.02,20.0,0.01,0.0,1.0,3.0,0.8121116161346436,0.6271186440677966
414,0.02,20.0,0.005,-1.0,-1.0,1.0,0.7969069480895996,0.6728813559322034
415,0.02,20.0,0.005,-1.0,-1.0,3.0,0.7358514070510864,0.588135593220339
416,0.02,20.0,0.005,-1.0,0.0,1.0,0.7441514730453491,0.6067796610169491
417,0.02,20.0,0.005,-1.0,0.0,3.0,0.6590957641601562,0.6457627118644068
418,0.02,20.0,0.005,-1.0,1.0,1.0,0.7828543782234192,0.6186440677966102
419,0.02,20.0,0.005,-1.0,1.0,3.0,0.6554052829742432,0.6440677966101694
420,0.02,20.0,0.005,0.5,-1.0,1.0,0.8303928375244141,0.6338983050847458
421,0.02,20.0,0.005,0.5,-1.0,3.0,0.8529571294784546,0.6694915254237288
422,0.02,20.0,0.005,0.5,0.0,1.0,0.8440984487533569,0.6627118644067796
423,0.02,20.0,0.005,0.5,0.0,3.0,0.8539952635765076,0.6711864406779661
424,0.02,20.0,0.005,0.5,1.0,1.0,0.8304582834243774,0.635593220338983
425,0.02,20.0,0.005,0.5,1.0,3.0,0.8409197330474854,0.6627118644067796
426,0.02,20.0,0.005,0.0,-1.0,1.0,0.8234001398086548,0.6338983050847458
427,0.02,20.0,0.005,0.0,-1.0,3.0,0.8405693769454956,0.635593220338983
428,0.02,20.0,0.005,0.0,0.0,1.0,0.591274619102478,0.7067796610169491
429,0.02,20.0,0.005,0.0,0.0,3.0,0.591274619102478,0.7067796610169491
430,0.02,20.0,0.005,0.0,1.0,1.0,0.8127011060714722,0.6322033898305085
431,0.02,20.0,0.005,0.0,1.0,3.0,0.8166757822036743,0.6271186440677966
432,0.02,30.0,0.001,-1.0,-1.0,1.0,0.7830882668495178,0.6728813559322034
433,0.02,30.0,0.001,-1.0,-1.0,3.0,0.6403950452804565,0.6627118644067796
434,0.02,30.0,0.001,-1.0,0.0,1.0,0.6887850165367126,0.6610169491525424
435,0.02,30.0,0.001,-1.0,0.0,3.0,0.638289213180542,0.6627118644067796
436,0.02,30.0,0.001,-1.0,1.0,1.0,0.7520572543144226,0.6254237288135593
437,0.02,30.0,0.001,-1.0,1.0,3.0,0.6352750658988953,0.6610169491525424
438,0.02,30.0,0.001,0.5,-1.0,1.0,0.8349863290786743,0.635593220338983
439,0.02,30.0,0.001,0.5,-1.0,3.0,0.8482662439346313,0.6694915254237288
440,0.02,30.0,0.001,0.5,0.0,1.0,0.8463155031204224,0.6644067796610169
441,0.02,30.0,0.001,0.5,0.0,3.0,0.8517024517059326,0.6711864406779661
442,0.02,30.0,0.001,0.5,1.0,1.0,0.8306427001953125,0.635593220338983
443,0.02,30.0,0.001,0.5,1.0,3.0,0.8400112390518188,0.6627118644067796
444,0.02,30.0,0.001,0.0,-1.0,1.0,0.8220717906951904,0.6305084745762712
445,0.02,30.0,0.001,0.0,-1.0,3.0,0.8581234812736511,0.6389830508474577
446,0.02,30.0,0.001,0.0,0.0,1.0,0.4624251127243042,0.7067796610169491
447,0.02,30.0,0.001,0.0,0.0,3.0,0.4624251127243042,0.7067796610169491
448,0.02,30.0,0.001,0.0,1.0,1.0,0.8243541717529297,0.6254237288135593
449,0.02,30.0,0.001,0.0,1.0,3.0,0.7984599471092224,0.6322033898305085
450,0.02,30.0,0.01,-1.0,-1.0,1.0,0.7946088314056396,0.6728813559322034
451,0.02,30.0,0.01,-1.0,-1.0,3.0,0.6642332673072815,0.6440677966101694
452,0.02,30.0,0.01,-1.0,0.0,1.0,0.7682865858078003,0.6016949152542372
453,0.02,30.0,0.01,-1.0,0.0,3.0,0.6637753248214722,0.6440677966101694
454,0.02,30.0,0.01,-1.0,1.0,1.0,0.7515472173690796,0.6237288135593221
455,0.02,30.0,0.01,-1.0,1.0,3.0,0.6622582077980042,0.6440677966101694
456,0.02,30.0,0.01,0.5,-1.0,1.0,0.8301405906677246,0.6322033898305085
457,0.02,30.0,0.01,0.5,-1.0,3.0,0.8492774963378906,0.6694915254237288
458,0.02,30.0,0.01,0.5,0.0,1.0,0.8451187610626221,0.6644067796610169
459,0.02,30.0,0.01,0.5,0.0,3.0,0.8537113666534424,0.6728813559322034
460,0.02,30.0,0.01,0.5,1.0,1.0,0.8295275568962097,0.635593220338983
461,0.02,30.0,0.01,0.5,1.0,3.0,0.840509295463562,0.6610169491525424
462,0.02,30.0,0.01,0.0,-1.0,1.0,0.8229199647903442,0.6338983050847458
463,0.02,30.0,0.01,0.0,-1.0,3.0,0.8331197500228882,0.6372881355932203
464,0.02,30.0,0.01,0.0,0.0,1.0,0.8299746513366699,0.7050847457627119
465,0.02,30.0,0.01,0.0,0.0,3.0,0.8299746513366699,0.7050847457627119
466,0.02,30.0,0.01,0.0,1.0,1.0,0.8166159391403198,0.6271186440677966
467,0.02,30.0,0.01,0.0,1.0,3.0,0.8179932832717896,0.6322033898305085
468,0.02,30.0,0.005,-1.0,-1.0,1.0,0.7946364879608154,0.6728813559322034
469,0.02,30.0,0.005,-1.0,-1.0,3.0,0.6610046625137329,0.6440677966101694
470,0.02,30.0,0.005,-1.0,0.0,1.0,0.76402747631073,0.6135593220338983
471,0.02,30.0,0.005,-1.0,0.0,3.0,0.6593810319900513,0.6457627118644068
472,0.02,30.0,0.005,-1.0,1.0,1.0,0.7526422142982483,0.6237288135593221
473,0.02,30.0,0.005,-1.0,1.0,3.0,0.6580139398574829,0.6440677966101694
474,0.02,30.0,0.005,0.5,-1.0,1.0,0.829988956451416,0.6322033898305085
475,0.02,30.0,0.005,0.5,-1.0,3.0,0.849409818649292,0.6711864406779661
476,0.02,30.0,0.005,0.5,0.0,1.0,0.8453088998794556,0.6627118644067796
477,0.02,30.0,0.005,0.5,0.0,3.0,0.8541932702064514,0.6728813559322034
478,0.02,30.0,0.005,0.5,1.0,1.0,0.831743597984314,0.6389830508474577
479,0.02,30.0,0.005,0.5,1.0,3.0,0.8413330316543579,0.6610169491525424
480,0.02,30.0,0.005,0.0,-1.0,1.0,0.8221604824066162,0.6322033898305085
481,0.02,30.0,0.005,0.0,-1.0,3.0,0.8421603441238403,0.635593220338983
482,0.02,30.0,0.005,0.0,0.0,1.0,0.566815972328186,0.7067796610169491
483,0.02,30.0,0.005,0.0,0.0,3.0,0.566815972328186,0.7067796610169491
484,0.02,30.0,0.005,0.0,1.0,1.0,0.818170428276062,0.6305084745762712
485,0.02,30.0,0.005,0.0,1.0,3.0,0.8013262748718262,0.6237288135593221
